ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.517564,6.493203,4.608531,4.59147,15.99148,0.2754304,2.415901,29.69526,,NONE
-1,6.517509,6.493255,4.608494,4.591507,15.99152,0.2754279,2.413106,29.79485,,NONE
-1,6.517433,6.49333,4.60844,4.591561,15.99157,0.2754286,2.410303,29.89475,,NONE
-1,6.517436,6.493331,4.608439,4.591562,15.99157,0.2754332,2.407473,29.99557,,NONE
-1,6.517436,6.49333,4.608439,4.591562,15.99157,0.275431,2.404676,30.09515,,NONE
-1,6.517436,6.49333,4.608439,4.591562,15.99157,0.2754198,2.40187,30.19512,,NONE
-1,6.517437,6.49333,4.608439,4.591562,15.99157,0.275431,2.399024,30.29641,,NONE
-1,6.517438,6.49333,4.608439,4.591562,15.99157,0.275432,2.396228,30.39598,,NONE
-1,6.517438,6.493329,4.608439,4.591562,15.99157,0.2754323,2.393432,30.49556,,NONE
-1,6.517437,6.493325,4.608439,4.591562,15.99157,0.2754319,2.390602,30.59641,,NONE
-1,6.517419,6.493344,4.608426,4.591575,15.99159,0.2754282,2.387811,30.69587,,NONE
-1,6.517403,6.493361,4.608415,4.591587,15.9916,0.2754251,2.385029,30.79504,,NONE
-1,6.517399,6.493366,4.60841,4.591591,15.9916,0.2754203,2.382164,30.8971,,NONE
-1,6.5174,6.493367,4.60841,4.591591,15.9916,0.2754322,2.379396,30.9957,,NONE
-1,6.517405,6.493364,4.608411,4.59159,15.9916,0.2754307,2.376584,31.09589,,NONE
-1,6.5174,6.493365,4.60841,4.591591,15.9916,0.2754303,2.373806,31.19483,,NONE
-1,6.517401,6.493366,4.60841,4.591591,15.9916,0.2754301,2.370994,31.29497,,NONE
-1,6.517403,6.493364,4.608409,4.591592,15.9916,0.2754318,2.368155,31.39611,,NONE
-1,6.517403,6.493362,4.608409,4.591592,15.9916,0.2754316,2.365353,31.49593,,NONE
-1,6.517406,6.49336,4.608411,4.59159,15.9916,0.27543,2.362533,31.59635,,NONE
-1,6.517405,6.493362,4.608409,4.591592,15.9916,0.2754286,2.359738,31.69594,,NONE
-1,6.517405,6.493362,4.608409,4.591592,15.9916,0.2754311,2.356907,31.79674,,NONE
-1,6.517405,6.493361,4.608409,4.591592,15.9916,0.2754319,2.354112,31.89631,,NONE
-1,6.517408,6.493358,4.608411,4.59159,15.9916,0.275431,2.3513,31.99647,,NONE
-1,6.517406,6.493361,4.608409,4.591592,15.9916,0.2754318,2.348528,32.09518,,NONE
-1,6.517409,6.493358,4.608411,4.59159,15.9916,0.2754281,2.345692,32.19623,,NONE
-1,6.517406,6.493361,4.608409,4.591592,15.9916,0.2754311,2.342895,32.29588,,NONE
-1,6.517409,6.493355,4.608411,4.59159,15.9916,0.2754331,2.337145,32.50071,,NONE
-1,6.517411,6.493355,4.60841,4.591591,15.9916,0.2754327,2.336947,32.50778,,NONE
-1,6.517411,6.493355,4.60841,4.591591,15.9916,0.275423,2.334466,32.59622,,NONE
-1,6.517407,6.493356,4.608409,4.591592,15.9916,0.275426,2.33168,32.69547,,NONE
-1,6.517416,6.493352,4.608411,4.59159,15.9916,0.275431,2.328844,32.7965,,NONE
-1,6.517412,6.493353,4.60841,4.591591,15.9916,0.275431,2.326041,32.89637,,NONE
-1,6.517417,6.493352,4.608411,4.59159,15.9916,0.2754304,2.323247,32.99596,,NONE
-1,6.517413,6.493353,4.60841,4.591591,15.9916,0.2754259,2.320434,33.09615,,NONE
